query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
1-Tetracosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
beta-Sitosterol NIST,C01753,beta-Sitosterol,NA,Steroid biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Metabolic pathways;Biosynthesis of secondary metabolites,NA,NA,NA,NA
D-glucuronic acidM,NA,NA,NA,NA,NA,NA,NA,NA
Docosanol NIST,NA,NA,NA,NA,NA,NA,NA,NA
hydrocinnamic acid,C05629,3-Phenylpropionic acid,C9H10O2,Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine",NA,1.1.1.110;1.1.1.237;1.4.1.20;1.4.3.2;1.4.5.1;1.13.11.27;2.1.1.281;2.3.3.-;2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.21;2.6.1.28;2.6.1.57;2.6.1.58;2.6.1.64;2.6.1.70;2.6.1.-;4.1.1.43;4.1.1.-;4.2.1.51;4.2.1.91;5.3.2.1,R00688 R00689 R00692 R00694 R00695 R01370 R01371 R01372;R01373 R01374 R01375 R01376 R01377 R01378 R01582 R10431;R10499 R10500 R11068
L-ornithine,cpd:C00077,"L-Ornithine;(S)-2,5-Diaminovaleric acid;(S)-2,5-Diaminopentanoic acid;(S)-2,5-Diaminopentanoate",C5H12N2O2,"Arginine biosynthesis;Arginine and proline metabolism;D-Amino acid metabolism;Glutathione metabolism;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Efferocytosis","Proline biosynthesis, glutamate => proline;Ornithine biosynthesis, glutamate => ornithine;Urea cycle;Polyamine biosynthesis, arginine => ornithine => putrescine;Ornithine biosynthesis, mediated by LysW, glutamate => ornithine;Cycloserine biosynthesis, arginine/serine => cycloserine;Arginine biosynthesis, ornithine => arginine;Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A;Proline metabolism",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Other amino acids;    C00077  L-Ornithine,1.5.1.24;1.14.13.195;1.14.13.196;2.1.3.3;2.1.4.1;2.1.4.2;2.1.4.3;2.3.1.35;2.3.1.127;2.3.2.30;2.6.1.13;3.5.1.14;3.5.1.16;3.5.1.20;3.5.1.132;3.5.3.1;3.5.3.25;4.1.1.17;4.3.1.12;5.1.1.9;5.1.1.10;5.1.1.12,R00551 R00565 R00664 R00665 R00666 R00667 R00668 R00669;R00670 R00671 R00672 R01343 R01398 R01686 R01989 R02282;R03477 R05547 R10466 R10789 R10790 R10933 R11801 R12506
L-tyrosine,cpd:C00082,L-Tyrosine;(S)-3-(p-Hydroxyphenyl)alanine;(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid;Tyrosine,C9H11NO3,"Ubiquinone and other terpenoid-quinone biosynthesis;Monobactam biosynthesis;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Novobiocin biosynthesis;Cyanoamino acid metabolism;Methane metabolism;Thiamine metabolism;Phenylpropanoid biosynthesis;Isoquinoline alkaloid biosynthesis;Betalain biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of various plant secondary metabolites;Biosynthesis of vancomycin group antibiotics;Biosynthesis of enediyne antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Dopaminergic synapse;Melanogenesis;Prolactin signaling pathway;Protein digestion and absorption;Parkinson disease;Cocaine addiction;Amphetamine addiction;Alcoholism;Central carbon metabolism in cancer","Tyrosine biosynthesis, chorismate => HPP => tyrosine;Monolignol biosynthesis, phenylalanine/tyrosine => monolignol;Tyrosine biosynthesis, chorismate => arogenate => tyrosine;Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline;Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine;Tyrosine degradation, tyrosine => homogentisate;Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP;Cyanogenic glycoside biosynthesis, tyrosine => dhurrin;C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP;Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP;Puromycin biosynthesis, ATP => puromycin;Methanofuran biosynthesis;Betacyanin biosynthesis, L-tyrosine => amaranthin",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00082  Tyrosine (Tyr);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00022)]; Chemicals;  D00022  L-Tyrosine,1.2.1.101;1.3.1.43;1.3.1.78;1.3.1.79;1.4.1.20;1.4.3.2;1.10.3.1;1.11.1.8;1.11.2.6;1.14.14.36;1.14.16.1;1.14.16.2;1.14.18.1;1.14.-.-;1.21.1.1;2.1.1.304;2.5.1.122;2.5.1.147;2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.58;2.6.1.103;4.1.1.25;4.1.1.28;4.1.1.108;4.1.99.2;4.1.99.19;4.1.99.24;4.3.1.23;4.3.1.25;5.4.3.6;6.1.1.1;6.3.2.24;6.3.2.25,R00031 R00728 R00729 R00730 R00731 R00732 R00733 R00734;R00735 R00736 R00737 R00739 R01795 R01815 R02078 R02918;R03539 R04730 R05671 R06626 R06751 R07211 R07212 R08825;R09254 R09521 R09830 R10059 R10246 R10671 R10964 R10968;R11366 R11917 R12150 R12161 R12235 R12540 R12541 R12611;R12759 R13031
L-valine,cpd:C00183,L-Valine;2-Amino-3-methylbutyric acid,C5H11NO2,"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Penicillin and cephalosporin biosynthesis;Cyanoamino acid metabolism;Pantothenate and CoA biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine;Pantothenate biosynthesis, valine/L-aspartate => pantothenate;Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin;Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00183  Valine (Val);Risk category of Japanese OTC drugs [BR:br08312(D00039)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Valine;    D00039  Valine (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00039)]; Chemicals;  D00039  L-Valine,1.4.1.8;1.4.1.9;1.4.1.23;1.14.14.38;1.14.14.39;2.6.1.6;2.6.1.32;2.6.1.42;2.6.1.66;4.1.1.14;6.1.1.9;6.3.2.26;6.3.2.47,R01212 R01214 R01215 R01434 R01437 R02200 R03665 R04870;R08663 R10031 R10941 R10942
Serratene NIST,NA,NA,NA,NA,NA,NA,NA,NA
3-Hydroxyphenylacetate,cpd:C05593,3-Hydroxyphenylacetate;3-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Styrene degradation;Metabolic pathways;Microbial metabolism in diverse environments,NA,NA,1.14.13.63;1.14.14.9,R02515 R02517 R03299 R06791
4-Hydroxyphenylacetate,cpd:C00642,4-Hydroxyphenylacetate;4-Hydroxyphenylacetic acid,C8H8O3,Tyrosine metabolism;Phenylalanine metabolism;Degradation of flavonoids;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,Dietary phytochemicals [br08012.html]; Flavonoids;  C00642,1.2.1.5;1.2.1.29;1.2.1.39;1.2.1.53;1.2.3.13;1.14.13.18;1.14.14.9;4.1.1.83;6.2.1.-,R00042 R02514 R02516 R02695 R02697 R02698 R02699 R06790;R07312 R13086
Benzoate,cpd:C00180,Benzoate;Benzoic acid;Benzenecarboxylic acid;Phenylformic acid;Dracylic acid,C7H6O2,Benzoate degradation;Dioxin degradation;Toluene degradation;Aminobenzoate degradation;Biosynthesis of various alkaloids;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Toluene degradation, toluene => benzoate;Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate;Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",Therapeutic category of drugs in Japan [BR:br08301(D00038)]; 7  Agents not mainly for therapeutic purpose;  73  Public health agents;   731  Antiseptics;    7319  Others;     D00038  Benzoic acid (JP18/USP);Risk category of Japanese OTC drugs [BR:br08312(D00038)]; Designated second-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP); Second-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP); Third-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP);Animal drugs in Japan [BR:br08331]; 99  Agents for not mainly purpose of therapeutic;  992  Amphoteric soap and preparations;   9929  Other agents for disinfections;    C00180  Benzoate;Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00038)]; Chemicals;  D00038  Benzoic acid,1.2.1.7;1.2.1.28;1.14.12.10;1.14.13.-;1.14.14.92;2.1.1.273;3.1.1.1;3.1.1.84;3.5.1.4;3.5.1.32;3.5.1.40;3.5.5.1;3.6.1.7;3.6.1.20;3.7.1.8;6.2.1.25,R01295 R01419 R01420 R01421 R01422 R01423 R01424 R01425;R01426 R01427 R02606 R05590 R05591 R05621 R05622 R06727;R06728 R07188 R07835 R08838 R09088 R10447
Betaine,cpd:C00719,"Betaine;Trimethylaminoacetate;Glycine betaine;N,N,N-Trimethylglycine;Trimethylammonioacetate",C5H11NO2,"Glycine, serine and threonine metabolism;Metabolic pathways;ABC transporters","Betaine biosynthesis, choline => betaine;Betaine metabolism, animals, betaine => glycine;Betaine degradation, bacteria, betaine => pyruvate","Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D07523)]; A ALIMENTARY TRACT AND METABOLISM;  A16 OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS;   A16A OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS;    A16AA Amino acids and derivatives;     A16AA06 Betaine;      D07523  Betaine (JAN) &lt;JP/US&gt;;USP drug classification [BR:br08302(D07523)]; Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment;  Betaine;   D07523  Betaine (JAN);Therapeutic category of drugs in Japan [BR:br08301(D07523)]; 3  Agents affecting metabolism;  39  Other agents affecting metabolism;   399  Miscellaneous;    3999  Others;     D07523  Betaine (JAN);Risk category of Japanese OTC drugs [BR:br08312(D07523)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Betaine;    D07523  Betaine (JAN);New drug approvals in Europe [br08329.html(D07523)]; European public assessment reports (EPAR) authorised medicine;  D07523;New drug approvals in Japan [br08318.html(D07523)]; Drugs with new active ingredients;  D07523;New drug approvals in the USA, Europe and Japan [br08328.html(D07523)]; Approval dates by FDA, EMA and PMDA;  D07523",1.1.3.17;1.2.1.8;1.13.11.90;1.14.13.251;1.21.4.4;2.1.1.5;2.1.1.157;2.1.1.161;2.1.1.162;2.1.1.376,R02565 R02566 R02821 R07228 R07244 R08211 R08212 R10061;R10062 R12614 R12787 R13016
Fructose,cpd:C05003,D-Fructose;D-arabino-Hex-2-ulopyranose,C6H12O6,NA,NA,NA,NA,NA
O-Acetylcholine,cpd:C01996,Acetylcholine;O-Acetylcholine,C7H16NO2,Glycerophospholipid metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Synaptic vesicle cycle;Cholinergic synapse;Taste transduction;Regulation of actin cytoskeleton;Insulin secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Pathways of neurodegeneration - multiple diseases;Nicotine addiction,NA,Compounds with biological roles [BR:br08001]; Hormones and transmitters;  Neurotransmitters;   Acetylcholine;    C01996  Acetylcholine;Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; S SENSORY ORGANS;  S01 OPHTHALMOLOGICALS;   S01E ANTIGLAUCOMA PREPARATIONS AND MIOTICS;    S01EB Parasympathomimetics;     S01EB09 Acetylcholine;      C01996  Acetylcholine;Drug groups [BR:br08330]; Cardiovascular agent;  DG01532  Nicotinic cholinergic receptor agonist;   DG01133  Acetylcholine;    C01996  Acetylcholine; Neuropsychiatric agent;  DG01490  Muscarinic cholinergic receptor agonist;   DG01133  Acetylcholine;    C01996  Acetylcholine; Ophthalmic agent;  DG03201  Intraocular pressure lowering agent;   DG01133  Acetylcholine;    C01996  Acetylcholine; Metabolizing enzyme substrate;  DG02974  ACHE substrate;   DG01133  Acetylcholine;    C01996  Acetylcholine,2.3.1.6;3.1.1.7;3.1.1.8,R01023 R01026
Phenylalanine,cpd:C00079,L-Phenylalanine;(S)-alpha-Amino-beta-phenylpropionic acid,C9H11NO2,"Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Cyanoamino acid metabolism;D-Amino acid metabolism;Phenylpropanoid biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various alkaloids;Biosynthesis of various other secondary metabolites;Biosynthesis of various plant secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine;Monolignol biosynthesis, phenylalanine/tyrosine => monolignol;Flavanone biosynthesis, phenylalanine => naringenin;Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline;Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00079  Phenylalanine (Phe);Risk category of Japanese OTC drugs [BR:br08312(D00021)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Phenylalanine;    D00021  Phenylalanine (USP/INN);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00021)]; Chemicals;  D00021  L-Phenylalanine,1.4.1.20;1.4.3.2;1.11.1.21;1.13.12.9;1.14.14.40;1.14.16.1;1.14.16.7;2.3.1.53;2.6.1.1;2.6.1.5;2.6.1.9;2.6.1.28;2.6.1.57;2.6.1.58;2.6.1.64;2.6.1.70;2.6.1.-;3.4.17.23;4.1.1.28;4.1.1.53;4.1.1.109;4.2.1.51;4.2.1.91;4.3.1.24;4.3.1.25;5.1.1.11;5.4.3.10;5.4.3.11;6.1.1.20;6.3.2.40;6.3.2.-,R00686 R00688 R00689 R00690 R00691 R00692 R00693 R00694;R00695 R00697 R00698 R00699 R01375 R01376 R01795 R03660;R06744 R07211 R08463 R08652 R08690 R09535 R09578 R09579;R10286 R10287 R10495 R10499 R10729 R11068 R11918 R12413;R12540 R12543
Hexacosanoic acid NIST,C21931,Hexacosanoic acid,NA,NA,NA,NA,NA,NA
L-glutamic acid,cpd:C00025,L-Glutamate;L-Glutamic acid;L-Glutaminic acid;Glutamate,C5H9NO4,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Carbapenem biosynthesis;Histidine metabolism;Taurine and hypotaurine metabolism;D-Amino acid metabolism;Glutathione metabolism;Neomycin, kanamycin and gentamicin biosynthesis;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;C5-Branched dibasic acid metabolism;Porphyrin metabolism;Nitrogen metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Two-component system;FoxO signaling pathway;Phospholipase D signaling pathway;Neuroactive ligand-receptor interaction;Ferroptosis;Gap junction;Circadian entrainment;Long-term potentiation;Synaptic vesicle cycle;Retrograde endocannabinoid signaling;Glutamatergic synapse;GABAergic synapse;Long-term depression;Taste transduction;Proximal tubule bicarbonate reclamation;Protein digestion and absorption;Amyotrophic lateral sclerosis;Huntington disease;Spinocerebellar ataxia;Pathways of neurodegeneration - multiple diseases;Cocaine addiction;Amphetamine addiction;Nicotine addiction;Alcoholism;Central carbon metabolism in cancer","Proline biosynthesis, glutamate => proline;GABA (gamma-Aminobutyrate) shunt;Ornithine biosynthesis, glutamate => ornithine;Histidine degradation, histidine => N-formiminoglutamate => glutamate;Glutathione biosynthesis, glutamate => glutathione;Heme biosynthesis, plants and bacteria, glutamate => heme;Photorespiration;Methylaspartate cycle;Ornithine biosynthesis, mediated by LysW, glutamate => ornithine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine;Arginine succinyltransferase pathway, arginine => glutamate;Proline degradation, proline => glutamate",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00025  Glutamic acid (Glu); Hormones and transmitters;  Neurotransmitters;   Amino acids;    C00025  Glutamate;Risk category of Japanese OTC drugs [BR:br08312(D00007)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Glutamic acid;    D00007  Glutamic acid (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00007)]; Chemicals;  D00007  L-Glutamic acid,1.2.1.88;1.4.1.2;1.4.1.3;1.4.1.4;1.4.1.13;1.4.1.14;1.4.3.11;1.4.7.1;1.5.1.9;1.5.1.10;1.5.3.18;1.5.99.5;1.14.11.76;2.1.1.21;2.1.2.5;2.3.1.1;2.3.1.14;2.3.1.35;2.3.2.2;2.3.2.-;2.4.2.14;2.5.1.140;2.6.1.1;2.6.1.2;2.6.1.3;2.6.1.4;2.6.1.5;2.6.1.6;2.6.1.7;2.6.1.9;2.6.1.11;2.6.1.13;2.6.1.16;2.6.1.17;2.6.1.19;2.6.1.22;2.6.1.23;2.6.1.24;2.6.1.26;2.6.1.27;2.6.1.29;2.6.1.33;2.6.1.34;2.6.1.36;2.6.1.38;2.6.1.39;2.6.1.42;2.6.1.44;2.6.1.48;2.6.1.49;2.6.1.52;2.6.1.55;2.6.1.57;2.6.1.59;2.6.1.65;2.6.1.67;2.6.1.72;2.6.1.75;2.6.1.76;2.6.1.79;2.6.1.80;2.6.1.81;2.6.1.82;2.6.1.83;2.6.1.85;2.6.1.86;2.6.1.87;2.6.1.89;2.6.1.90;2.6.1.92;2.6.1.93;2.6.1.94;2.6.1.95;2.6.1.98;2.6.1.102;2.6.1.103;2.6.1.104;2.6.1.106;2.6.1.107;2.6.1.109;2.6.1.110;2.6.1.111;2.6.1.114;2.6.1.116;2.6.1.118;2.6.1.120;2.6.1.122;2.6.1.123;2.6.1.-;2.7.2.11;3.4.17.21;3.4.19.9;3.4.19.13;3.4.19.14;3.4.19.16;3.5.1.2;3.5.1.38;3.5.1.55;3.5.1.65;3.5.1.68;3.5.1.87;3.5.1.94;3.5.1.96;3.5.1.118;3.5.1.123;3.5.1.129;3.5.2.9;3.5.3.8;4.1.1.15;4.1.3.27;4.2.1.168;4.3.2.10;4.3.3.6;5.1.1.3;5.4.3.9;5.4.99.1;6.1.1.17;6.1.1.24;6.2.1.39;6.2.1.68;6.3.1.2;6.3.1.6;6.3.1.11;6.3.1.17;6.3.1.18;6.3.2.2;6.3.2.12;6.3.2.17;6.3.2.18;6.3.2.31;6.3.2.32;6.3.2.33;6.3.2.34;6.3.2.41;6.3.2.42;6.3.2.53;6.3.2.60;6.3.2.-;6.3.4.2;6.3.4.12;6.3.4.24;6.3.5.1;6.3.5.2;6.3.5.3;6.3.5.4;6.3.5.5;6.3.5.6;6.3.5.7;6.3.5.9;6.3.5.10;6.3.5.11;6.3.5.12;6.3.5.13;6.3.5.-,R00021 R00093 R00114 R00239 R00243 R00245 R00248 R00250;R00251 R00253 R00254 R00256 R00257 R00258 R00259 R00260;R00261 R00262 R00263 R00355 R00372 R00411 R00457 R00494;R00525 R00573 R00575 R00578 R00609 R00667 R00668 R00684;R00694 R00707 R00708 R00734 R00768 R00894 R00895 R00908;R00942 R00986 R01072 R01090 R01155 R01161 R01214 R01231;R01339 R01585 R01586 R01648 R01654 R01684 R01716 R01939;R01956 R02040 R02077 R02199 R02237 R02274 R02282 R02283;R02285 R02287 R02313 R02315 R02433 R02619 R02700 R02772;R02773 R02929 R02930 R03053 R03120 R03189 R03207 R03243;R03266 R03651 R03905 R03916 R03952 R03970 R03971 R04028;R04029 R04051 R04171 R04173 R04188 R04212 R04217 R04234;R04241 R04242 R04269 R04338 R04438 R04463 R04467 R04475;R04529 R04558 R04776 R05052 R05085 R05197 R05207 R05224;R05225 R05507 R05578 R05815 R06423 R06426 R06586 R06631;R06634 R06977 R07275 R07276 R07277 R07396 R07414 R07419;R07456 R07613 R07643 R07659 R08244 R08855 R08897 R08903;R08905 R08906 R08931 R08956 R09195 R09399 R09400 R09401;R09495 R09594 R09598 R09599 R09778 R09824 R09825 R09875;R10086 R10089 R10094 R10141 R10153 R10460 R10677 R10678;R10679 R10687 R10688 R10693 R10698 R10772 R10845 R10902;R10929 R10932 R10991 R10993 R11021 R11118 R11269 R11270;R11285 R11291 R11297 R11298 R11299 R11395 R11409 R11475;R11515 R11561 R11607 R11627 R11705 R11792 R11793 R11794;R11795 R11960 R11963 R12214 R12251 R12272 R12352 R12410;R12412 R12590 R12606 R12663 R12688 R12728 R12730 R12906;R12936 R12939 R13098 R13148
L-leucine,cpd:C00123,L-Leucine;2-Amino-4-methylvaleric acid;(2S)-alpha-2-Amino-4-methylvaleric acid;(2S)-alpha-Leucine,C6H13NO2,"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Glucosinolate biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from histidine and purine;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;mTOR signaling pathway;Protein digestion and absorption;Mineral absorption;Shigellosis;Central carbon metabolism in cancer","Leucine degradation, leucine => acetoacetate + acetyl-CoA",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00123  Leucine (Leu);Risk category of Japanese OTC drugs [BR:br08312(D00030)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Leucine;    D00030  Leucine (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00030)]; Chemicals;  D00030  L-Leucine,1.4.1.9;1.14.13.-;2.3.1.66;2.6.1.6;2.6.1.42;2.6.1.67;3.5.1.64;5.4.3.7;6.1.1.4;6.3.2.47,R01088 R01089 R01090 R01091 R02552 R03657 R08411 R08664;R10944
