query,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,KEGG_module,KEGG_brite,KEGG_enzyme,KEGG_reaction
L-serine,cpd:C00065,L-Serine;L-2-Amino-3-hydroxypropionic acid;L-3-Hydroxy-alanine;Serine,C3H7NO3,"Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Glycerophospholipid metabolism;Sphingolipid metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Sulfur metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of various antibiotics;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Vancomycin resistance;ABC transporters;Sphingolipid signaling pathway;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","Serine biosynthesis, glycerate-3P => serine;Cysteine biosynthesis, serine => cysteine;Methionine degradation;Ceramide biosynthesis;Cysteine biosynthesis, homocysteine + serine => cysteine;Formaldehyde assimilation, serine pathway;Photorespiration;Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A;Cycloserine biosynthesis, arginine/serine => cycloserine;Staphyloferrin B biosynthesis, L-serine => staphyloferrin B;Betaine degradation, bacteria, betaine => pyruvate",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00065  Serine (Ser);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00016)]; Chemicals;  D00016  L-Serine,1.1.1.276;1.1.1.387;1.4.1.7;2.1.2.1;2.3.1.30;2.3.1.50;2.6.1.45;2.6.1.51;2.7.1.80;2.7.1.225;2.7.1.226;2.7.8.4;2.7.8.8;2.7.8.29;2.7.8.38;2.8.1.4;3.1.3.3;3.1.4.13;4.1.1.-;4.2.1.20;4.2.1.22;4.2.1.50;4.2.1.122;4.3.1.17;4.3.1.19;5.1.1.10;5.1.1.18;6.1.1.11;6.2.1.72;6.3.2.14,R00220 R00581 R00582 R00584 R00585 R00586 R00588 R00589;R00590 R00674 R00891 R00945 R01281 R01289 R01290 R01800;R02378 R02563 R02722 R02817 R03662 R03923 R04942 R06126;R07376 R07377 R07644 R08218 R09099 R10255 R10441 R10880;R10984 R10985 R10986 R11667 R12342 R12344 R12757 R12779;R12781 R13249
Octacosanoic acid NIST,NA,NA,NA,NA,NA,NA,NA,NA
Tricosanoic acid NIST,NA,NA,NA,NA,NA,NA,NA,NA
Alanine,cpd:C00041,L-Alanine;L-2-Aminopropionic acid;L-alpha-Alanine,C3H7NO2,"Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Taurine and hypotaurine metabolism;Selenocompound metabolism;D-Amino acid metabolism;Carbon fixation in photosynthetic organisms;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Vancomycin resistance;ABC transporters;Sulfur relay system;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer","C4-dicarboxylic acid cycle, NAD - malic enzyme type;Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline",Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00041  Alanine (Ala);Risk category of Japanese OTC drugs [BR:br08312(D00012)]; Third-class OTC drugs;  Inorganic and organic chemicals;   L-Alanine;    D00012  Alanine (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00012)]; Chemicals;  D00012  L-Alanine,1.4.1.1;1.5.1.17;2.3.1.47;2.6.1.2;2.6.1.12;2.6.1.15;2.6.1.18;2.6.1.30;2.6.1.37;2.6.1.40;2.6.1.41;2.6.1.43;2.6.1.44;2.6.1.46;2.6.1.47;2.6.1.51;2.6.1.56;2.6.1.58;2.6.1.66;2.6.1.71;2.6.1.77;2.6.1.84;2.6.1.96;2.6.1.99;2.6.1.108;2.6.1.113;2.6.1.115;2.6.1.119;2.8.1.7;2.8.1.9;3.5.1.28;3.7.1.3;4.1.1.12;4.1.1.64;4.4.1.16;5.1.1.1;6.1.1.7;6.2.1.67;6.3.2.8;6.3.2.49;6.3.2.-,R00258 R00369 R00396 R00397 R00398 R00400 R00401 R00453;R00576 R00585 R00692 R00863 R00907 R00987 R01215 R01261;R01712 R02050 R02271 R02293 R02668 R02970 R03001 R03038;R03193 R03210 R03502 R03599 R03854 R03936 R04112 R04152;R04187 R05652 R07460 R08197 R08714 R08872 R09048 R09254;R10124 R10178 R10180 R10992 R11038 R11064 R11528 R11583;R12343 R12417 R12419 R12622 R12725 R12727
Ethanol,cpd:C00469,Ethanol;Ethyl alcohol;Methylcarbinol,C2H6O,Glycolysis / Gluconeogenesis;Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Inflammatory mediator regulation of TRP channels;Alcoholic liver disease;Alcoholism;Chemical carcinogenesis - reactive oxygen species,NA,Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00068)]; D DERMATOLOGICALS;  D08 ANTISEPTICS AND DISINFECTANTS;   D08A ANTISEPTICS AND DISINFECTANTS;    D08AX Other antiseptics and disinfectants;     D08AX08 Ethanol;      D00068  Alcohol (USP) &lt;JP/US&gt;; V VARIOUS;  V03 ALL OTHER THERAPEUTIC PRODUCTS;   V03A ALL OTHER THERAPEUTIC PRODUCTS;    V03AB Antidotes;     V03AB16 Ethanol;      D00068  Alcohol (USP) &lt;JP/US&gt;;    V03AZ Nerve depressants;     V03AZ01 Ethanol;      D00068  Alcohol (USP) &lt;JP/US&gt;;Therapeutic category of drugs in Japan [BR:br08301(D00068)]; 2  Agents affecting individual organs;  26  Epidermides;   261  Antimicrobial agents;    2615  Alcohols;     D00068  Alcohol (USP); Anhydrous ethanol (JP18); 4  Agents affecting cellular function;  42  Antineoplastics;   429  Miscellaneous;    4291  Other Antitumors;     D00068  Alcohol (USP); Anhydrous ethanol (JP18);Classification of Japanese OTC drugs [BR:br08313(D00068)]; Agents for integumentary system;  54 Disinfectants (incl. special bandages);   D00068  Alcohol (USP);Risk category of Japanese OTC drugs [BR:br08312(D00068)]; Second-class OTC drugs;  Inorganic and organic chemicals;   Ethanol;    D00068  Alcohol (USP); Third-class OTC drugs;  Inorganic and organic chemicals;   Ethanol;    D00068  Alcohol (USP);Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00068)]; Chemicals;  D00068  Anhydrous ethanol,1.1.1.1;1.1.1.2;1.1.1.71;1.1.2.7;1.1.2.8;1.1.5.5;1.1.99.36;2.3.1.152;2.3.1.268;3.1.1.67;3.1.1.113;3.5.1.75,R00746 R00754 R02359 R02682 R04410 R05198 R09127 R09479;R09552 R11957 R12515
Glucose,cpd:C00031,D-Glucose;Grape sugar;Dextrose;Glucose;D-Glucopyranose,C6H12O6,"Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Streptomycin biosynthesis;Neomycin, kanamycin and gentamicin biosynthesis;Indole alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Two-component system;Phosphotransferase system (PTS);HIF-1 signaling pathway;FoxO signaling pathway;Meiosis - yeast;Efferocytosis;AMPK signaling pathway;Taste transduction;Insulin signaling pathway;Insulin secretion;Prolactin signaling pathway;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Non-alcoholic fatty liver disease;AGE-RAGE signaling pathway in diabetic complications;Carbohydrate digestion and absorption;Bile secretion;Mineral absorption;Biofilm formation - Vibrio cholerae;Central carbon metabolism in cancer;Diabetic cardiomyopathy",NA,"Compounds with biological roles [BR:br08001]; Carbohydrates;  Monosaccharides;   Aldoses;    C00031  D-Glucose;Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D00009)]; B BLOOD AND BLOOD FORMING ORGANS;  B05 BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;   B05C IRRIGATING SOLUTIONS;    B05CX Other irrigating solutions;     B05CX01 Glucose;      D00009  Glucose (JP18) &lt;JP&gt;; V VARIOUS;  V04 DIAGNOSTIC AGENTS;   V04C OTHER DIAGNOSTIC AGENTS;    V04CA Tests for diabetes;     V04CA02 Glucose;      D00009  Glucose (JP18) &lt;JP&gt;;  V06 GENERAL NUTRIENTS;   V06D OTHER NUTRIENTS;    V06DC Carbohydrates;     V06DC01 Glucose;      D00009  Glucose (JP18) &lt;JP&gt;;Therapeutic category of drugs in Japan [BR:br08301(D00009)]; 3  Agents affecting metabolism;  32  Nutrients, tonics;   323  Saccharide preparations;    3231  Glucoses;     D00009  Glucose (JP18); Purified glucose (JP18);Risk category of Japanese OTC drugs [BR:br08312(D00009)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Glucose;    D00009  Glucose (JP18);Animal drugs in Japan [BR:br08331]; 96  Agents affecting metabolism;  964  Saccharide preparations and blood substitutes;   9641  Dextrose and preparations;    C00031  D-Glucose;Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00009)]; Chemicals;  D00009  Glucose;  D00009  Purified glucose;  D00009  Glucose injection",1.1.1.118;1.1.1.119;1.1.1.121;1.1.1.359;1.1.1.360;1.1.1.432;1.1.3.10;1.1.5.2;1.1.5.9;1.1.99.28;1.1.99.35;2.3.1.72;2.3.1.90;2.3.1.91;2.3.1.92;2.3.1.103;2.3.1.143;2.3.1.152;2.3.1.-;2.4.1.8;2.4.1.9;2.4.1.10;2.4.1.20;2.4.1.22;2.4.1.25;2.4.1.31;2.4.1.64;2.4.1.99;2.4.1.230;2.4.1.245;2.4.1.279;2.4.1.281;2.7.1.1;2.7.1.2;2.7.1.41;2.7.1.42;2.7.1.61;2.7.1.62;2.7.1.63;2.7.1.142;2.7.1.147;2.7.1.199;3.1.1.33;3.1.3.9;3.1.3.10;3.1.3.58;3.1.4.48;3.1.6.3;3.2.1.3;3.2.1.10;3.2.1.20;3.2.1.21;3.2.1.22;3.2.1.23;3.2.1.26;3.2.1.28;3.2.1.39;3.2.1.42;3.2.1.45;3.2.1.48;3.2.1.58;3.2.1.74;3.2.1.86;3.2.1.93;3.2.1.104;3.2.1.105;3.2.1.107;3.2.1.108;3.2.1.117;3.2.1.118;3.2.1.122;3.2.1.125;3.2.1.126;3.2.1.147;3.2.1.175;3.2.1.182;3.2.1.186;3.2.1.188;3.2.1.189;3.2.1.205;3.2.1.206;3.2.1.207;3.2.1.208;3.2.1.216;3.2.1.220;3.2.1.-;4.2.99.22;4.2.99.23,R00010 R00015 R00028 R00049 R00063 R00299 R00300 R00301;R00302 R00303 R00304 R00305 R00306 R00308 R00327 R00337;R00503 R00534 R00550 R00725 R00801 R00837 R00838 R00839;R00850 R00874 R00952 R00953 R00960 R01006 R01100 R01101;R01139 R01444 R01460 R01498 R01555 R01718 R01790 R01791;R02185 R02558 R02595 R02727 R02738 R02887 R02985 R03075;R03323 R03527 R03604 R03703 R03801 R03802 R03820 R04006;R04094 R04194 R04333 R04409 R04410 R04411 R04498 R04503;R04949 R04998 R05061 R05140 R05141 R05142 R05196 R05804;R05980 R05981 R06040 R06053 R06056 R06058 R06059 R06067;R06069 R06079 R06080 R06087 R06091 R06103 R06104 R06105;R06106 R06107 R06108 R06109 R06112 R06113 R06114 R06115;R06135 R06204 R06620 R07147 R07264 R08404 R08432 R08514;R08819 R08823 R08946 R09039 R09723 R09941 R09943 R10411;R10494 R10525 R10530 R10580 R10581 R11215 R11306 R11682;R11791 R11942 R12208 R12209 R12250 R12983 R12997 R13178;R13191
Isocaproate,cpd:C21399,Isocaproate;4-Methylpentanoate,C6H12O2,NA,NA,NA,2.8.3.24,R11462
1-Hexacosanol NIST,C08381,1-Hexacosanol,NA,NA,NA,NA,NA,NA
3-3-hydroxyphenylpropionic acid,C11457,3-(3-Hydroxyphenyl)propanoic acid,NA,Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,NA,NA,NA
3-4-hydroxyphenylpropionic acid,C01744,3-(4-Hydroxyphenyl)propionic acid,NA,Degradation of flavonoids;Metabolic pathways,NA,NA,NA,NA
3-hydroxybutyric acid,NA,3-hydroxybutyric acid,NA,NA,NA,NA,NA,NA
4-guanidinobutyric acid,cpd:C01035,4-Guanidinobutanoate;4-Guanidinobutyric acid,C5H11N3O2,Arginine and proline metabolism;Metabolic pathways,NA,NA,1.2.1.54;2.1.4.1;3.5.1.4;3.5.3.7,R01989 R01990 R03177 R03180
5-Trimethylsilyloxy-n-valeric acid NIST,NA,5-Trimethylsilyloxy-n-valeric acid,NA,NA,NA,NA,NA,NA
benzoic acid,cpd:C00180,Benzoate;Benzoic acid;Benzenecarboxylic acid;Phenylformic acid;Dracylic acid,C7H6O2,Benzoate degradation;Dioxin degradation;Toluene degradation;Aminobenzoate degradation;Biosynthesis of various alkaloids;Biosynthesis of alkaloids derived from shikimate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds,"Toluene degradation, toluene => benzoate;Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate;Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol",Therapeutic category of drugs in Japan [BR:br08301(D00038)]; 7  Agents not mainly for therapeutic purpose;  73  Public health agents;   731  Antiseptics;    7319  Others;     D00038  Benzoic acid (JP18/USP);Risk category of Japanese OTC drugs [BR:br08312(D00038)]; Designated second-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP); Second-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP); Third-class OTC drugs;  Inorganic and organic chemicals;   Benzoic acid;    D00038  Benzoic acid (JP18/USP);Animal drugs in Japan [BR:br08331]; 99  Agents for not mainly purpose of therapeutic;  992  Amphoteric soap and preparations;   9929  Other agents for disinfections;    C00180  Benzoate;Drugs listed in the Japanese Pharmacopoeia [BR:br08311(D00038)]; Chemicals;  D00038  Benzoic acid,1.2.1.7;1.2.1.28;1.14.12.10;1.14.13.-;1.14.14.92;2.1.1.273;3.1.1.1;3.1.1.84;3.5.1.4;3.5.1.32;3.5.1.40;3.5.5.1;3.6.1.7;3.6.1.20;3.7.1.8;6.2.1.25,R01295 R01419 R01420 R01421 R01422 R01423 R01424 R01425;R01426 R01427 R02606 R05590 R05591 R05621 R05622 R06727;R06728 R07188 R07835 R08838 R09088 R10447
caprylic acid,cpd:C06423,Octanoic acid;Caprylic acid;Octylic acid;Octanoate,C8H16O2,Fatty acid biosynthesis;Lipoic acid metabolism;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from terpenoid and polyketide;Metabolic pathways;Biosynthesis of cofactors,NA,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Monocarboxylic acids;    C06423  Caprylate; Octanoate; Lipids;  Fatty acids;   Saturated fatty acids;    C06423  Caprylic acid (8:0);Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0101 Straight chain fatty acids;    C06423  Octanoic acid;Phytochemical compounds [BR:br08003]; Fatty acids related compounds;  Fatty acids;   Saturated fatty acids;    C06423  Octanoic acid,3.1.2.21;6.3.1.20,R08157 R08509 R12429
DL-3-aminoisobutyric acid,NA,NA,NA,NA,NA,NA,NA,NA
L-Aspartic acid NIST,C00049,L-Aspartic acid,NA,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis;Histidine metabolism;beta-Alanine metabolism;Cyanoamino acid metabolism;D-Amino acid metabolism;Carbon fixation in photosynthetic organisms;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Aminoacyl-tRNA biosynthesis;Biosynthesis of various other secondary metabolites; Including: Ditryptophenaline biosynthesis, Fumiquinazoline D biosynthesis, Paerucumarin biosynthesis, Staphyloferrin B biosynthesis, Cyclooctatin biosynthesis, Lovastatin biosynthesis, Grixazone biosynthesis, Staphyloferrin A biosynthesis, Ethynylserine biosynthesis, Aerobactin biosynthesis;Biosynthesis of various antibiotics; Including: Kanosamine biosynthesis, Aurachin biosynthesis, Bacilysin biosynthesis, Puromycin biosynthesis, Dapdiamides biosynthesis, Fosfomycin biosynthesis, Cremeomycin biosynthesis, Fumagillin biosynthesis, Pentalenolactone biosynthesis, Terpentecin biosynthesis, Roseoflavin biosynthesis, Cycloserine biosynthesis;Biosynthesis of various plant secondary metabolites; Including: Crocin biosynthesis, Ginsenoside biosynthesis, Saponin adjuvant biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;ABC transporters;Two-component system;Bacterial chemotaxis;Neuroactive ligand-receptor interaction;Protein digestion and absorption;Central carbon metabolism in cancer",NA,NA,NA,NA
L-glutamic acid dehydrated,NA,NA,NA,NA,NA,NA,NA,NA
L-threonineM,NA,NA,NA,NA,NA,NA,NA,NA
methylmalonic acid,cpd:C02170,Methylmalonate;Methylmalonic acid,C4H6O4,"Pyrimidine metabolism;Valine, leucine and isoleucine degradation;Propanoate metabolism;Metabolic pathways",NA,Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0117 Dicarboxylic acids;    C02170  Methylmalonic acid,1.2.1.3;1.2.3.1;3.1.2.17;3.5.1.95;3.5.2.1;6.2.1.-,R02764 R03383 R03869 R03870 R03871 R03872 R10778
myo-inositol,cpd:C00137,myo-Inositol;D-myo-Inositol;1D-myo-Inositol;L-myo-Inositol;1L-myo-Inositol;meso-Inositol;Inositol;Dambose;Cyclohexitol;Meat sugar;Bios I,C6H12O6,Galactose metabolism;Ascorbate and aldarate metabolism;Streptomycin biosynthesis;Inositol phosphate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of nucleotide sugars;ABC transporters;Phosphatidylinositol signaling system,"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",Compounds with biological roles [BR:br08001]; Carbohydrates;  Monosaccharides;   Sugar alcohols;    C00137  myo-Inositol;Anatomical Therapeutic Chemical (ATC) classification [BR:br08303(D08079)]; A ALIMENTARY TRACT AND METABOLISM;  A11 VITAMINS;   A11H OTHER PLAIN VITAMIN PREPARATIONS;    A11HA Other plain vitamin preparations;     A11HA07 Inositol;      D08079  Inositol (NF);Risk category of Japanese OTC drugs [BR:br08312(D08079)]; Third-class OTC drugs;  Inorganic and organic chemicals;   Inositol;    D08079  Inositol (NF),1.1.1.18;1.13.99.1;2.1.1.39;2.1.1.40;2.1.1.129;2.3.1.72;2.4.1.67;2.4.1.82;2.4.1.123;2.7.1.64;2.7.8.11;3.1.3.25;3.1.4.44;3.2.1.22,R01183 R01184 R01185 R01186 R01187 R01188 R01189 R01190;R01192 R01193 R01194 R01802 R02411 R03418 R04333 R06042;R06071 R06093 R06214 R07279 R07343
phenylethylamine,cpd:C05332,Phenethylamine;2-Phenylethylamine;beta-Phenylethylamine;Phenylethylamine,C8H11N,Phenylalanine metabolism;Metabolic pathways,NA,Compounds with biological roles [BR:br08001]; Peptides;  Amines;   Biogenic amines;    C05332  Phenethylamine,1.4.3.4;1.4.3.21;1.4.9.2;3.5.1.85;4.1.1.28;4.1.1.53,R00699 R02612 R02613 R07301
pimelic acid,cpd:C02656,Pimelate;Pimelic acid;Heptanedioic acid;6-Carboxyhexanoate,C7H12O4,Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Dicarboxylic acids;    C02656  Pimelate;Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0117 Dicarboxylic acids;    C02656  Heptanedioic acid,6.2.1.14,R03209
p-Toluic acid NIST,C01454,4-Methylbenzoic acid,NA,Xylene degradation;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,NA,NA,NA
putrescine,cpd:C00134,"Putrescine;1,4-Butanediamine;1,4-Diaminobutane;Tetramethylenediamine;Butane-1,4-diamine",C4H12N2,"Arginine and proline metabolism;D-Amino acid metabolism;Glutathione metabolism;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Efferocytosis;Protein digestion and absorption","Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine;Polyamine biosynthesis, arginine => ornithine => putrescine;GABA biosynthesis, eukaryotes, putrescine => GABA;GABA biosynthesis, prokaryotes, putrescine => GABA",Compounds with biological roles [BR:br08001]; Peptides;  Amines;   Biogenic amines;    C00134  Putrescine,1.4.3.10;1.4.3.22;1.5.1.43;1.5.3.13;1.5.3.17;2.1.1.53;2.1.3.6;2.3.1.57;2.3.1.138;2.3.1.-;2.5.1.16;2.5.1.44;2.5.1.45;2.6.1.29;2.6.1.82;2.6.1.113;3.5.1.53;3.5.1.62;3.5.3.11;4.1.1.17;4.1.1.116;6.3.1.11,R00018 R00670 R01151 R01152 R01153 R01154 R01155 R01156;R01157 R01399 R01919 R01920 R01944 R07414 R08714 R09074;R09077 R09079 R09256 R09257 R12304
1-Butanol,cpd:C06142,1-Butanol;n-Butanol;Butan-1-ol,C4H10O,Butanoate metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds,NA,Lipids [BR:br08002]; FA  Fatty acyls;  FA05 Fatty alcohols;   C06142  1-Butanol,1.1.1.-;1.1.2.9;1.1.5.11;1.14.13.230,R03544 R03545 R11343 R11344 R11448
"3,7-Dimethyluric acid",cpd:C16360,"3,7-Dimethyluric acid",C7H8N4O3,Caffeine metabolism,NA,"Phytochemical compounds [BR:br08003]; Alkaloids;  Others;   Purine alkaloids;    C16360  3,7-Dimethyluric acid",1.17.3.2,R07978
